epoch,acc,loss,val_acc,val_loss
0,0.9645788669586182,0.1067892536520958,0.9725127220153809,0.08376579731702805
1,0.9774917960166931,0.07097068428993225,0.959838330745697,0.11499146372079849
2,0.9810425639152527,0.06167265400290489,0.9723543524742126,0.09177181869745255
3,0.9828177094459534,0.05796753615140915,0.9828894734382629,0.06268826127052307
4,0.9841703772544861,0.054011113941669464,0.9836819171905518,0.05494213104248047
5,0.9849312901496887,0.051594607532024384,0.9806717038154602,0.06705927848815918
6,0.9857553839683533,0.04991598427295685,0.9766318798065186,0.07409477233886719
7,0.9858823418617249,0.04937724396586418,0.841729998588562,0.9625481367111206
8,0.9857977032661438,0.04859532415866852,0.9778992533683777,0.07423277199268341
9,0.985734224319458,0.04858306795358658,0.9764733910560608,0.07200782001018524
10,0.9866007566452026,0.04579175263643265,0.9820975661277771,0.06394852697849274
11,0.9871712327003479,0.04470426216721535,0.9817806482315063,0.06058023124933243
12,0.9867063164710999,0.04530882090330124,0.8334123492240906,1.3286051750183105
13,0.9875730872154236,0.04250272735953331,0.9726710915565491,0.08492425829172134
14,0.9875093698501587,0.04156497120857239,0.9832857847213745,0.06881904602050781
15,0.9881222248077393,0.03920433670282364,0.98360276222229,0.05964360386133194
16,0.9882917404174805,0.03965349495410919,0.9836819171905518,0.060397643595933914
17,0.9886930584907532,0.039472077041864395,0.980988621711731,0.06608224660158157
18,0.9883970022201538,0.03794431313872337,0.9754436612129211,0.13133689761161804
19,0.9885662198066711,0.03706640377640724,0.8197084665298462,1.1578457355499268
