epoch,acc,loss,val_acc,val_loss
0,0.963691234588623,0.11348587274551392,0.9714036583900452,0.0890449807047844
1,0.974786102771759,0.07838906347751617,0.9799588918685913,0.06970767676830292
2,0.9790345430374146,0.06833569705486298,0.805449903011322,0.8934997320175171
3,0.9816551804542542,0.06246541440486908,0.8978928923606873,0.2506059408187866
4,0.981676459312439,0.060080040246248245,0.9830482602119446,0.058295391499996185
5,0.9823741316795349,0.059483133256435394,0.9849494099617004,0.0544247031211853
6,0.9831768274307251,0.05809217318892479,0.7967365384101868,1.5546399354934692
7,0.9830501079559326,0.05666297674179077,0.9580956697463989,0.12177201360464096
8,0.9839377403259277,0.054101306945085526,0.9666507840156555,0.09175899624824524
9,0.9842548370361328,0.05283483862876892,0.8476712107658386,0.920195460319519
10,0.9847409725189209,0.051683805882930756,0.9854245781898499,0.05147081986069679
11,0.9847198724746704,0.050305064767599106,0.960155189037323,0.09782862663269043
12,0.9852690696716309,0.04958855360746384,0.9832066297531128,0.055971719324588776
13,0.9854384660720825,0.047993674874305725,0.9845532178878784,0.05155158415436745
14,0.9862202405929565,0.04687780141830444,0.9755228161811829,0.08625742048025131
15,0.9853115677833557,0.046559423208236694,0.980038046836853,0.06817571818828583
16,0.9868121147155762,0.044133126735687256,0.9861374497413635,0.053738098591566086
17,0.9864106774330139,0.04378040134906769,0.9823353290557861,0.05969623848795891
18,0.9869813323020935,0.042039405554533005,0.9512039422988892,0.1455375701189041
19,0.9868963956832886,0.04106536880135536,0.8504435420036316,0.6493697762489319
